,EMI,ROI,EligibleLoanAmount
452,891.4425,0.111111111,27687.6
456,2598,0.114965926,15900
458,1431.5,0.169779992,18000
459,2428.65,0.152470548,11280
460,2319,0.188245799,27000
464,86.40513,0.178779667,4799.999999
466,362.25,0.126561272,11100
468,501.6,0.094612947,30300
469,1661.8189,0.224806202,18969.6
470,162.547358,0.19987198,6900.000001
478,1938.766825,0.1507431,27600
480,2099.993,0.259259259,5850
482,11.7558,0.173553719,9600.000001
486,2842.433294,0.163109884,23400
487,412.5,0.076212471,28800
488,22.067991,0.181066252,7499.999999
489,487.46792,0.215070644,19500
490,735.782475,0.131567521,9000
492,470.8,0.105305538,30600
494,56.8155,0.130434783,15000
498,900,0.152542373,7756.800001
499,847.5,0.144933732,24600
500,486,0.152542373,15300
501,129.5532,0.173553719,9000
508,852.651886,0.21253642,7556.4
512,2250,0.130434783,33000
516,500,0.111111111,16140.3
519,525,0.095022624,6900.000001
521,834.99833,0.143101971,108600
522,1127.5,0.184006528,18000
523,825,0.215686275,14850
525,2599,0.206286213,22500
526,597.5,0.106744082,2853.600001
527,490.35,0.246363705,21300
528,1500,0.130434783,7800.000001
531,255.8,0.113396578,20400
533,709.99858,0.124343257,37800
535,37.74594,0.190611089,9299.999999
536,665,0.159663866,11400
537,2012.033443,0.242366846,12600
538,435.873712,0.18354017,16500
541,1229.04,0.145810199,18000
543,366.1525,0.259259259,15000
545,5074,0.190938511,10200
546,232.5,0.071925754,13560
549,299.998,0.090909091,11700
551,1029.6,0.204708128,7499.999999
553,2511,0.200703381,15900
555,31.7765,0.259259259,15911.1
558,489.716575,0.206286213,9105.000001
567,546.0026,0.206349206,12300
568,77.9814,0.122807018,8603.399999
571,2399.25,0.242366846,16200
574,152.5,0.132321041,2999.999999
577,438.3654,0.099099099,30000
582,561.22,0.180327869,10500
584,573.6,0.125415428,21600
585,82.5,0.076212471,18000
588,2822.459356,0.101446671,17700
589,80.3344,0.156118143,14400
590,473.3605,0.190283401,13200
591,2016.3,0.134274089,25500
594,970,0.088422972,25200
596,3748.5,0.199935995,16350
597,714.026115,0.134274089,19920
598,2239.3,0.242366846,22248
600,1032.5,0.227799228,28500
605,331.407,0.18699187,19500
607,79.633248,0.244256348,19800
613,1996.7,0.08875524,48000
615,71.249395,0.152470548,7200
617,521.5,0.129677981,12000
619,1049.9965,0.259259259,18900
622,86.883587,0.104664697,37500
623,181.591275,0.214145383,9000
627,727.25,0.225346657,6000.000001
628,271.753261,0.098042753,12900
631,273.054,0.166666667,10500
632,1300,0.115044248,13200
635,325.3731,0.159663866,42000
644,154.99535,0.134199134,4799.999999
645,2652,0.150237933,40500
647,61.234258,0.178914525,16500
650,294.099135,0.079613438,18360
651,2550.0068,0.145299145,29400
652,594.3014,0.122807018,21000
654,75.859925,0.17184265,9000
655,2774.9955,0.130434783,8733.899999
656,497.5,0.165971643,18000
658,869,0.079952158,36000
663,112.4618,0.145299145,19500
666,1206,0.167360533,13800
667,1376.910155,0.126256007,114000
670,155.934,0.230769231,12600
673,632.303745,0.121651296,13200
675,2118.9,0.232363553,7499.999999
677,5147.497941,0.170743843,43500
679,1072.5,0.125109361,8700.000001
683,3672,0.186661244,27600
694,100,0.090909091,5841
698,420.07,0.065420561,30000
702,712.50075,0.069767442,39000
703,71.4,0.066641777,6000.000001
706,2030,0.224806202,22200
707,0,0.175189706,23400
710,2047.5,0.120105587,32700
713,361.708416,0.172733289,6720.3
716,542.5,0.134199134,23700
717,1399.9965,0.259259259,22500
718,79.055001,0.13111478,9776.400001
719,792.132,0.116607774,13500
720,1118.599201,0.073988332,36000
721,26.6539,0.224806202,7560
722,259.753927,0.08999909,9000
724,1066.947629,0.19165791,22500
726,539.4,0.082484632,12600
727,261.948824,0.115357396,9450
730,694.2136,0.18699187,8399.999999
732,368.49115,0.18200409,10200
735,1355,0.119330691,11700
739,209,0.094612947,8399.999999
743,773.229985,0.094612947,15900
745,796,0.165971643,15000
747,353.0328,0.193548387,8242.499999
750,427.65642,0.147775695,17100
751,564,0.085923218,23460
753,1229.2,0.235064637,8100
754,974,0.08875524,9299.999999
755,419.9904,0.107142857,15450
757,1515.36576,0.129677981,45000
758,1650,0.141630901,25500
760,300,0.166666667,22500
762,413.75284,0.105545617,4500
768,525,0.259259259,17700
777,129.390076,0.097146984,13650
780,737.5,0.227799228,12600
781,229.867344,0.120569871,7960.200001
782,675,0.130434783,8100
784,183.32226,0.111427048,15300
785,171.332,0.259259259,12000
790,50.00000001,0.047619048,11400
794,1160,0.224806202,416.0999988
795,1319.99868,0.116607774,12360
796,270,0.097472924,24159.6
797,250,0.2,5699.999999
800,618.2295,0.173553719,20700
802,12.5222,0.224806202,3456
803,2726.5,0.222999223,29700
807,599.9976,0.107142857,9000
809,275.9218,0.084249084,9299.999999
810,1459.5,0.172527927,12600
813,2422.5,0.11308204,19800
816,73.83276,0.171499586,8700.000001
819,357.83032,0.206286213,12000
820,625,0.111111111,24000
821,389.25,0.079613438,22500
824,4023.621,0.152542373,28500
826,1400,0.122807018,13500
827,828,0.152542373,5173.2
830,406.7,0.076638966,54000
835,42.055285,0.17566565,15000
836,349.838775,0.198396794,19500
839,198.99801,0.165971643,19500
842,32.748875,0.191919192,6738.000001
846,3750,0.2,11400
847,1115,0.10031489,90000
849,71,0.066293184,2880
852,3750,0.130434783,31889.4
853,522,0.224806202,9000
855,3238.8,0.21253642,17100
858,1889.99622,0.158957107,21600
859,507.886335,0.129299086,33000
861,503.4,0.077405665,30150
862,1327.5,0.150382328,5724
865,196.37,0.068033551,42000
868,118.2,0.105705598,5400
873,816.88005,0.230650869,8399.999999
876,1587.5,0.112688554,30000
880,193.07,0.166666667,19500
884,422.811191,0.140819658,18000
885,324.2,0.139488856,6085.500001
888,2963.46705,0.124726477,12000
893,40.020118,0.193483345,14869.5
897,1072.50143,0.125109361,12600
898,2174.25,0.224746104,33000
902,212.5655,0.259259259,15000
904,674.66,0.078680671,27900
905,760,0.131944444,12000
912,54.5454,0.206349206,8340.000001
913,249.5,0.047528336,39000
916,88.5,0.055712937,33000
918,318.8,0.137484906,4799.999999
920,245.874025,0.214145383,37500
921,454.21569,0.24110192,6000.000001
922,194.99805,0.088838269,15240
923,1117.49851,0.129677981,14700
925,1555.3949,0.156118143,19020
927,280.5,0.085505258,8700.000001
931,867.725,0.22148696,7800.000001
934,479.5118,0.129677981,23758.8
935,49.90000001,0.047528336,32400
939,779.7,0.206286213,13800
941,780,0.115044248,16560
942,1124.55,0.199935995,30900
944,27.9675,0.144933732,3656.999999
946,211.22079,0.108813831,18000
950,1034.99793,0.093792478,14400
952,3430.5,0.186131684,37200
955,90,0.082568807,18000
957,69,0.064546305,15600
959,1270.8,0.24110192,30000
960,1270.8,0.24110192,19500
972,1270.8,0.24110192,13275
974,626.8,0.238617329,12900
975,219.55898,0.124343257,30000
977,2362.5,0.086340795,24000
980,1546.15,0.15390473,14100
982,1787.5,0.215686275,24750
983,1464.260592,0.190021059,20100
987,337.5,0.118942731,33519.9
990,3319.75,0.159451963,36000
991,552.422843,0.099828968,23100
992,635.4,0.24110192,17400
994,547.848234,0.24110192,12000
1004,28.7208,0.193548387,10200
