,LoanStatus
1571,1
1574,1
1576,1
1580,1
1584,1
1585,0
1586,1
1587,1
1588,1
1589,1
1590,1
1591,1
1592,1
1594,1
1598,0
1603,1
1604,0
1605,1
1606,1
1608,0
1609,1
1613,1
1615,1
1617,1
1618,1
1620,0
1622,1
1623,1
1624,0
1626,1
1627,1
1628,1
1631,1
1632,1
1634,1
1637,1
1638,0
1639,1
1640,1
1642,0
1643,0
1645,1
1646,1
1649,0
1650,1
1652,0
1653,1
1655,1
1658,1
1659,1
1662,1
1663,1
1664,1
1665,0
1667,1
1670,1
1674,0
1678,1
1681,0
1683,0
1684,1
1685,0
1687,1
1692,1
1694,0
1695,0
1696,0
1701,1
1704,1
1705,1
1706,1
1708,1
1710,1
1711,1
1712,1
1713,1
1715,1
1717,1
1719,1
1720,0
1722,1
1723,0
1727,1
1728,0
1729,0
1730,1
1731,0
1732,1
1736,1
1737,1
1739,1
1740,1
1741,0
1745,0
1746,1
1748,1
1749,1
1754,1
1755,1
1757,1
1758,0
1759,0
1760,1
1761,1
1762,1
1763,1
1765,1
1767,0
1768,1
1770,1
1772,0
1776,0
1781,0
1782,1
1788,1
1790,0
1796,1
1799,0
1801,1
1802,1
1804,1
1805,0
1806,1
1808,1
1809,0
1812,0
1813,1
1814,1
1815,1
1816,0
1817,1
1818,1
1822,1
1824,0
1827,1
1830,1
1833,1
1836,1
1838,0
1839,1
1840,1
1841,0
1843,1
1844,1
1846,0
1847,1
1848,1
1849,1
1850,1
1854,0
1856,1
1859,1
1860,1
1862,1
1863,0
1864,1
1865,0
1866,1
1867,1
1871,1
1872,1
1873,0
1876,0
1877,1
1878,1
1879,1
1882,1
1884,1
1886,1
1887,1
1888,1
1890,1
1897,1
1899,1
1902,1
1904,1
1905,1
1907,1
1908,0
1912,1
1916,0
1918,1
1919,1
1921,1
1922,1
1924,1
1925,0
1926,0
1928,1
1929,1
1930,0
1931,0
1932,0
1933,1
1934,1
1936,0
1939,1
1942,1
1944,1
1949,1
1950,1
1952,0
1954,1
1955,1
1958,1
1961,1
1963,1
1965,1
1966,1
1969,1
1973,1
1974,1
1976,0
1977,1
1978,1
1979,0
1980,1
1982,1
1987,1
1988,1
1993,1
1997,1
1999,1
2000,1
2002,1
2006,1
2007,1
2008,1
2009,1
2011,1
2012,1
2014,1
2016,1
2018,1
2022,1
2023,1
2024,1
2025,0
2027,1
2029,1
2030,1
2035,1
2036,1
2037,1
2038,1
2039,1
2040,1
2044,1
2046,1
2047,0
2049,1
2050,0
2051,1
2053,1
2054,0
2055,1
2057,1
2060,1
2064,1
2065,0
2066,1
2067,1
2068,1
2069,1
2072,1
2074,1
2075,0
2076,1
2077,1
2079,1
2080,0
2085,0
2088,1
2089,0
2091,1
2098,0
2100,1
2103,1
2104,0
2105,0
2106,1
2107,0
2108,1
2111,0
2112,1
2113,1
2116,1
2117,1
2118,1
2120,0
2121,1
2125,1
2127,1
2129,1
2132,1
2133,1
2134,1
2135,1
2136,1
2137,1
2138,1
2139,1
2145,1
2146,1
2150,1
2151,1
2152,1
2153,1
2154,1
2155,1
2156,1
2159,0
2160,1
2162,1
2165,1
2167,0
2175,0
2177,1
2178,1
2180,0
2184,1
2185,1
2186,1
2189,0
2190,1
2191,1
2193,1
2195,1
2198,0
2199,0
2201,0
2204,1
2207,1
2208,1
2211,1
2215,1
2217,1
2219,1
2222,0
2226,0
2234,1
2235,1
2237,1
2238,1
2239,1
2240,1
2241,1
2244,1
2245,1
2246,0
2247,0
2250,1
2252,1
2253,1
2254,1
2257,0
2258,1
2259,0
2260,1
2262,0
2263,0
2265,1
2266,1
2268,1
2270,1
2271,1
2272,1
2275,1
2276,1
2278,1
2279,0
2280,0
2281,0
2282,1
2284,1
2286,1
2294,1
2295,1
2297,0
2299,1
2307,1
2309,1
2317,1
2319,1
2320,1
2321,1
2323,1
2324,1
2327,1
2328,1
2329,0
2332,0
2334,0
2335,1
2337,1
2339,1
2341,1
2344,1
2345,1
2347,1
2348,0
2351,0
2352,1
2353,0
2365,1
2367,0
2371,1
2372,1
2374,1
2376,1
2381,1
2383,1
2385,0
2387,1
2388,1
2389,1
2390,1
2392,1
2393,0
2394,0
2397,1
2400,1
2401,1
2402,1
2403,1
2407,1
2409,0
2413,1
2415,0
2416,1
2417,1
2419,1
2422,0
2423,1
2424,1
2429,1
2431,1
2433,1
2434,0
2436,1
2439,0
2443,1
2446,1
2447,1
2449,1
2450,1
2451,1
2453,1
2454,1
2457,0
2463,0
2464,1
2465,1
2468,0
2469,0
2471,1
2473,1
2474,1
2475,1
2476,1
2477,1
2478,1
2481,0
2482,1
2484,1
2485,1
2486,1
2488,1
2490,0
2491,1
2492,1
2496,0
2497,0
2499,1
2500,0
2501,1
2502,1
2504,0
2505,1
2509,1
2511,1
2513,1
2514,1
2516,1
2518,1
2521,0
2524,1
2525,1
2528,0
2533,1
2535,0
2537,1
2541,1
2543,1
2544,1
2547,1
2551,1
2552,1
2553,0
2554,1
2555,1
2556,1
2560,1
2561,1
2562,1
2565,1
2567,0
2569,1
2570,1
2574,1
2576,1
2581,1
2583,1
2584,1
2586,0
2587,1
2588,1
2589,1
2590,1
2591,1
2593,1
